"forme";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70";"71";"72";"73";"74";"75";"76";"77";"78";"79";"80";"81";"82";"83";"84";"85";"86";"87";"88";"89";"90";"91";"92";"93";"94";"95";"96";"97";"98";"99";"100";"101";"31";"32";"33";"Z";"indice"
"désoler";"désole";"désoles";"désole";"désolons";"désolez";"désolent";"ai désolé";"as désolé";"a désolé";"avons désolé";"avez désolé";"ont désolé";"désolais";"désolais";"désolait";"désolions";"désoliez";"désolaient";"désolai";"désolas";"désola";"désolâmes";"désolâtes";"désolèrent";"avais désolé";"avais désolé";"avait désolé";"avions désolé";"aviez désolé";"avaient désolé";"désolerai";"désoleras";"désolera";"désolerons";"désolerez";"désoleront";"aurai désolé";"auras désolé";"aura désolé";"aurons désolé";"aurez désolé";"auront désolé";"eus désolé";"eus désolé";"eut désolé";"eûmes  désolé";"eûtes désolé";"eurent désolé";"aurais désolé";"aurais désolé";"aurait désolé";"aurions désolé";"auriez désolé";"auraient désolé";"désole";"désoles";" désole";"désolions";"désoliez";"désolent";"aie désolé";"aies désolé";" ait désolé";"ayons désolé";"ayez désolé";"aient désolé";"eusse désolé";"eusses désolé";"est désolé";"eussions désolé";"eussiez désolé";"eussent désolé";"désolerais";"désolerais";"désolerait";"désolerions";"désoleriez";"désoleraient";"désolasse";"désolasses";"désolassions";" désolât";"désolassiez";"désolassent";"eusse désolé";"eusses désolé";" est désolé";"eussions désolé";"eussiez désolé";"eussent désolé";"ayons désolé";"ayez désolé";"aie désolé";"avoir désolé";"désolée";"désolé";"désolant";"ayant désolé";"désolons";"désolez";"désole";1;1
"désolidariser";"désolidarise";"désolidarises";"désolidarise";"désolidarisons";"désolidarisez";"désolidarisent";"ai désolidarisé";"as désolidarisé";"a désolidarisé";"avons désolidarisé";"avez désolidarisé";"ont désolidarisé";"désolidarisais";"désolidarisais";"désolidarisait";"désolidarisions";"désolidarisiez";"désolidarisaient";"désolidarisai";"désolidarisas";"désolidarisa";"désolidarisâmes";"désolidarisâtes";"désolidarisèrent";"avais désolidarisé";"avais désolidarisé";"avait désolidarisé";"avions désolidarisé";"aviez désolidarisé";"avaient désolidarisé";"désolidariserai";"désolidariseras";"désolidarisera";"désolidariserons";"désolidariserez";"désolidariseront";"aurai désolidarisé";"auras désolidarisé";"aura désolidarisé";"aurons désolidarisé";"aurez désolidarisé";"auront désolidarisé";"eus désolidarisé";"eus désolidarisé";"eut désolidarisé";"eûmes  désolidarisé";"eûtes désolidarisé";"eurent désolidarisé";"aurais désolidarisé";"aurais désolidarisé";"aurait désolidarisé";"aurions désolidarisé";"auriez désolidarisé";"auraient désolidarisé";;;;;;;"aie désolidarisé";"aies désolidarisé";" ait désolidarisé";"ayons désolidarisé";"ayez désolidarisé";"aient désolidarisé";"eusse désolidarisé";"eusses désolidarisé";"est désolidarisé";"eussions désolidarisé";"eussiez désolidarisé";"eussent désolidarisé";"désolidariserais";"désolidariserais";"désolidariserait";"désolidariserions";"désolidariseriez";"désolidariseraient";"désolidarisasse";"désolidarisasses";"désolidarisassions";" désolidarisât";"désolidarisassiez";"désolidarisassent";"eusse désolidarisé";"eusses désolidarisé";;"eussions désolidarisé";"eussiez désolidarisé";"eussent désolidarisé";"ayons désolidarisé";"ayez désolidarisé";"aie désolidarisé";"avoir désolidarisé";"désolidarisée";"désolidarisé";"désolidarisant";;"désolidarisons";"désolidarisez";"désolidarise";1;0
"désoperculer";"désopercule";"désopercules";"désopercule";"désoperculons";"désoperculez";"désoperculent";"ai désoperculé";"as désoperculé";"a désoperculé";"avons désoperculé";"avez désoperculé";"ont désoperculé";"désoperculais";"désoperculais";"désoperculait";"désoperculions";"désoperculiez";"désoperculaient";"désoperculai";"désoperculas";"désopercula";"désoperculâmes";"désoperculâtes";"désoperculèrent";"avais désoperculé";"avais désoperculé";"avait désoperculé";"avions désoperculé";"aviez désoperculé";"avaient désoperculé";"désoperculerai";"désoperculeras";"désoperculera";"désoperculerons";"désoperculerez";"désoperculeront";"aurai désoperculé";"auras désoperculé";"aura désoperculé";"aurons désoperculé";"aurez désoperculé";"auront désoperculé";"eus désoperculé";"eus désoperculé";"eut désoperculé";"eûmes  désoperculé";"eûtes désoperculé";"eurent désoperculé";"aurais désoperculé";"aurais désoperculé";"aurait désoperculé";"aurions désoperculé";"auriez désoperculé";"auraient désoperculé";"désopercule";;;"désoperculions";"désoperculiez";;"aie désoperculé";"aies désoperculé";" ait désoperculé";"ayons désoperculé";"ayez désoperculé";"aient désoperculé";"eusse désoperculé";"eusses désoperculé";"est désoperculé";"eussions désoperculé";"eussiez désoperculé";"eussent désoperculé";"désoperculerais";"désoperculerais";"désoperculerait";"désoperculerions";"désoperculeriez";"désoperculeraient";"désoperculasse";"désoperculasses";"désoperculassions";" désoperculât";"désoperculassiez";"désoperculassent";"eusse désoperculé";"eusses désoperculé";" est désoperculé";"eussions désoperculé";"eussiez désoperculé";"eussent désoperculé";"ayons désoperculé";"ayez désoperculé";"aie désoperculé";"avoir désoperculé";"désoperculée";"désoperculé";"désoperculant";;"désoperculons";"désoperculez";"désopercule";1;0
"désopiler";"désopile";"désopiles";"désopile";"désopilons";"désopilez";"désopilent";"ai désopilé";"as désopilé";"a désopilé";"avons désopilé";"avez désopilé";"ont désopilé";"désopilais";"désopilais";"désopilait";"désopilions";"désopiliez";"désopilaient";"désopilai";"désopilas";"désopila";"désopilâmes";"désopilâtes";"désopilèrent";"avais désopilé";"avais désopilé";"avait désopilé";"avions désopilé";"aviez désopilé";"avaient désopilé";"désopilerai";"désopileras";"désopilera";"désopilerons";"désopilerez";"désopileront";"aurai désopilé";"auras désopilé";"aura désopilé";"aurons désopilé";"aurez désopilé";"auront désopilé";"eus désopilé";"eus désopilé";"eut désopilé";"eûmes  désopilé";"eûtes désopilé";"eurent désopilé";"aurais désopilé";"aurais désopilé";"aurait désopilé";"aurions désopilé";"auriez désopilé";"auraient désopilé";"désopile";"désopiles";" désopile";"désopilions";"désopiliez";"désopilent";"aie désopilé";"aies désopilé";" ait désopilé";"ayons désopilé";"ayez désopilé";"aient désopilé";"eusse désopilé";"eusses désopilé";"est désopilé";"eussions désopilé";"eussiez désopilé";"eussent désopilé";"désopilerais";"désopilerais";"désopilerait";"désopilerions";"désopileriez";"désopileraient";"désopilasse";"désopilasses";"désopilassions";" désopilât";"désopilassiez";"désopilassent";"eusse désopilé";"eusses désopilé";" est désopilé";"eussions désopilé";"eussiez désopilé";"eussent désopilé";"ayons désopilé";"ayez désopilé";"aie désopilé";"avoir désopilé";"désopilée";"désopilé";"désopilant";"ayant désopilé";"désopilons";"désopilez";"désopile";1;0
"désorber";"désorbe";"désorbes";"désorbe";"désorbons";"désorbez";"désorbent";"ai désorbé";"as désorbé";"a désorbé";"avons désorbé";"avez désorbé";"ont désorbé";"désorbais";"désorbais";"désorbait";"désorbions";"désorbiez";"désorbaient";"désorbai";"désorbas";"désorba";"désorbâmes";"désorbâtes";"désorbèrent";"avais désorbé";"avais désorbé";"avait désorbé";"avions désorbé";"aviez désorbé";"avaient désorbé";"désorberai";"désorberas";"désorbera";"désorberons";"désorberez";"désorberont";"aurai désorbé";"auras désorbé";"aura désorbé";"aurons désorbé";"aurez désorbé";"auront désorbé";"eus désorbé";"eus désorbé";"eut désorbé";"eûmes  désorbé";"eûtes désorbé";"eurent désorbé";"aurais désorbé";"aurais désorbé";"aurait désorbé";"aurions désorbé";"auriez désorbé";"auraient désorbé";"désorbe";"désorbes";" désorbe";"désorbions";"désorbiez";"désorbent";"aie désorbé";"aies désorbé";" ait désorbé";"ayons désorbé";"ayez désorbé";"aient désorbé";"eusse désorbé";"eusses désorbé";"est désorbé";"eussions désorbé";"eussiez désorbé";"eussent désorbé";"désorberais";"désorberais";"désorberait";"désorberions";"désorberiez";"désorberaient";"désorbasse";"désorbasses";"désorbassions";" désorbât";"désorbassiez";"désorbassent";"eusse désorbé";"eusses désorbé";" est désorbé";"eussions désorbé";"eussiez désorbé";"eussent désorbé";"ayons désorbé";"ayez désorbé";"aie désorbé";"avoir désorbé";"désorbée";"désorbé";"désorbant";"ayant désorbé";"désorbons";"désorbez";"désorbe";1;0
"désorbiter";"désorbite";"désorbites";"désorbite";"désorbitons";"désorbitez";"désorbitent";"ai désorbité";"as désorbité";"a désorbité";"avons désorbité";"avez désorbité";"ont désorbité";"désorbitais";"désorbitais";"désorbitait";"désorbitions";"désorbitiez";"désorbitaient";"désorbitai";"désorbitas";"désorbita";"désorbitâmes";"désorbitâtes";"désorbitèrent";"avais désorbité";"avais désorbité";"avait désorbité";"avions désorbité";"aviez désorbité";"avaient désorbité";"désorbiterai";"désorbiteras";"désorbitera";"désorbiterons";"désorbiterez";"désorbiteront";"aurai désorbité";"auras désorbité";"aura désorbité";"aurons désorbité";"aurez désorbité";"auront désorbité";"eus désorbité";"eus désorbité";"eut désorbité";"eûmes  désorbité";"eûtes désorbité";"eurent désorbité";"aurais désorbité";"aurais désorbité";"aurait désorbité";"aurions désorbité";"auriez désorbité";"auraient désorbité";"désorbite";"désorbites";" désorbite";"désorbitions";"désorbitiez";"désorbitent";"aie désorbité";"aies désorbité";" ait désorbité";"ayons désorbité";"ayez désorbité";"aient désorbité";"eusse désorbité";"eusses désorbité";"est désorbité";"eussions désorbité";"eussiez désorbité";"eussent désorbité";"désorbiterais";"désorbiterais";"désorbiterait";"désorbiterions";"désorbiteriez";"désorbiteraient";"désorbitasse";"désorbitasses";"désorbitassions";" désorbitât";"désorbitassiez";"désorbitassent";"eusse désorbité";"eusses désorbité";" est désorbité";"eussions désorbité";"eussiez désorbité";"eussent désorbité";"ayons désorbité";"ayez désorbité";"aie désorbité";"avoir désorbité";"désorbitée";"désorbité";"désorbitant";"ayant désorbité";"désorbitons";"désorbitez";"désorbite";1;0
"désordonner";"désordonne";"désordonnes";"désordonne";"désordonnons";"désordonnez";"désordonnent";"ai désordonné";"as désordonné";"a désordonné";"avons désordonné";"avez désordonné";"ont désordonné";"désordonnais";"désordonnais";"désordonnait";"désordonnions";"désordonniez";"désordonnaient";"désordonnai";"désordonnas";"désordonna";"désordonnâmes";"désordonnâtes";"désordonnèrent";"avais désordonné";"avais désordonné";"avait désordonné";"avions désordonné";"aviez désordonné";"avaient désordonné";"désordonnerai";"désordonneras";"désordonnera";"désordonnerons";"désordonnerez";"désordonneront";"aurai désordonné";"auras désordonné";"aura désordonné";"aurons désordonné";"aurez désordonné";"auront désordonné";"eus désordonné";"eus désordonné";"eut désordonné";"eûmes  désordonné";"eûtes désordonné";"eurent désordonné";"aurais désordonné";"aurais désordonné";"aurait désordonné";"aurions désordonné";"auriez désordonné";"auraient désordonné";"désordonne";"désordonnes";" désordonne";"désordonnions";"désordonniez";"désordonnent";"aie désordonné";"aies désordonné";" ait désordonné";"ayons désordonné";"ayez désordonné";"aient désordonné";"eusse désordonné";"eusses désordonné";"est désordonné";"eussions désordonné";"eussiez désordonné";"eussent désordonné";"désordonnerais";"désordonnerais";"désordonnerait";"désordonnerions";"désordonneriez";"désordonneraient";"désordonnasse";"désordonnasses";"désordonnassions";" désordonnât";"désordonnassiez";"désordonnassent";"eusse désordonné";"eusses désordonné";" est désordonné";"eussions désordonné";"eussiez désordonné";"eussent désordonné";"ayons désordonné";"ayez désordonné";"aie désordonné";"avoir désordonné";"désordonnée";"désordonné";"désordonnant";"ayant désordonné";"désordonnons";"désordonnez";"désordonne";1;0
"désorganiser";"désorganise";"désorganises";"désorganise";"désorganisons";"désorganisez";"désorganisent";"ai désorganisé";"as désorganisé";"a désorganisé";"avons désorganisé";"avez désorganisé";"ont désorganisé";"désorganisais";"désorganisais";"désorganisait";"désorganisions";"désorganisiez";"désorganisaient";"désorganisai";"désorganisas";"désorganisa";"désorganisâmes";"désorganisâtes";"désorganisèrent";"avais désorganisé";"avais désorganisé";"avait désorganisé";"avions désorganisé";"aviez désorganisé";"avaient désorganisé";"désorganiserai";"désorganiseras";"désorganisera";"désorganiserons";"désorganiserez";"désorganiseront";"aurai désorganisé";"auras désorganisé";"aura désorganisé";"aurons désorganisé";"aurez désorganisé";"auront désorganisé";"eus désorganisé";"eus désorganisé";"eut désorganisé";"eûmes  désorganisé";"eûtes désorganisé";"eurent désorganisé";"aurais désorganisé";"aurais désorganisé";"aurait désorganisé";"aurions désorganisé";"auriez désorganisé";"auraient désorganisé";"désorganise";;;"désorganisions";"désorganisiez";;"aie désorganisé";"aies désorganisé";" ait désorganisé";"ayons désorganisé";"ayez désorganisé";"aient désorganisé";"eusse désorganisé";"eusses désorganisé";"est désorganisé";"eussions désorganisé";"eussiez désorganisé";"eussent désorganisé";"désorganiserais";"désorganiserais";"désorganiserait";"désorganiserions";"désorganiseriez";"désorganiseraient";"désorganisasse";"désorganisasses";"désorganisassions";" désorganisât";"désorganisassiez";"désorganisassent";"eusse désorganisé";"eusses désorganisé";" est désorganisé";"eussions désorganisé";"eussiez désorganisé";"eussent désorganisé";"ayons désorganisé";"ayez désorganisé";"aie désorganisé";"avoir désorganisé";"désorganisée";"désorganisé";"désorganisant";;"désorganisons";"désorganisez";"désorganise";1;1
"désorienter";"désoriente";"désorientes";"désoriente";"désorientons";"désorientez";"désorientent";"ai désorienté";"as désorienté";"a désorienté";"avons désorienté";"avez désorienté";"ont désorienté";"désorientais";"désorientais";"désorientait";"désorientions";"désorientiez";"désorientaient";"désorientai";"désorientas";"désorienta";"désorientâmes";"désorientâtes";"désorientèrent";"avais désorienté";"avais désorienté";"avait désorienté";"avions désorienté";"aviez désorienté";"avaient désorienté";"désorienterai";"désorienteras";"désorientera";"désorienterons";"désorienterez";"désorienteront";"aurai désorienté";"auras désorienté";"aura désorienté";"aurons désorienté";"aurez désorienté";"auront désorienté";"eus désorienté";"eus désorienté";"eut désorienté";"eûmes  désorienté";"eûtes désorienté";"eurent désorienté";"aurais désorienté";"aurais désorienté";"aurait désorienté";"aurions désorienté";"auriez désorienté";"auraient désorienté";"désoriente";"désorientes";" désoriente";"désorientions";"désorientiez";"désorientent";"aie désorienté";"aies désorienté";" ait désorienté";"ayons désorienté";"ayez désorienté";"aient désorienté";"eusse désorienté";"eusses désorienté";"est désorienté";"eussions désorienté";"eussiez désorienté";"eussent désorienté";"désorienterais";"désorienterais";"désorienterait";"désorienterions";"désorienteriez";"désorienteraient";"désorientasse";"désorientasses";"désorientassions";" désorientât";"désorientassiez";"désorientassent";"eusse désorienté";"eusses désorienté";" est désorienté";"eussions désorienté";"eussiez désorienté";"eussent désorienté";"ayons désorienté";"ayez désorienté";"aie désorienté";"avoir désorienté";"désorientée";"désorienté";"désorientant";"ayant désorienté";"désorientons";"désorientez";"désoriente";1;0
"désosser";"désosse";"désosses";"désosse";"désossons";"désossez";"désossent";"ai désossé";"as désossé";"a désossé";"avons désossé";"avez désossé";"ont désossé";"désossais";"désossais";"désossait";"désossions";"désossiez";"désossaient";"désossai";"désossas";"désossa";"désossâmes";"désossâtes";"désossèrent";"avais désossé";"avais désossé";"avait désossé";"avions désossé";"aviez désossé";"avaient désossé";"désosserai";"désosseras";"désossera";"désosserons";"désosserez";"désosseront";"aurai désossé";"auras désossé";"aura désossé";"aurons désossé";"aurez désossé";"auront désossé";"eus désossé";"eus désossé";"eut désossé";"eûmes  désossé";"eûtes désossé";"eurent désossé";"aurais désossé";"aurais désossé";"aurait désossé";"aurions désossé";"auriez désossé";"auraient désossé";"désosse";"désosses";" désosse";"désossions";"désossiez";"désossent";"aie désossé";"aies désossé";" ait désossé";"ayons désossé";"ayez désossé";"aient désossé";"eusse désossé";"eusses désossé";"est désossé";"eussions désossé";"eussiez désossé";"eussent désossé";"désosserais";"désosserais";"désosserait";"désosserions";"désosseriez";"désosseraient";"désossasse";"désossasses";"désossassions";" désossât";"désossassiez";"désossassent";"eusse désossé";"eusses désossé";" est désossé";"eussions désossé";"eussiez désossé";"eussent désossé";"ayons désossé";"ayez désossé";"aie désossé";"avoir désossé";"désossée";"désossé";"désossant";"ayant désossé";"désossons";"désossez";"désosse";1;1
"désouffler";"désouffle";"désouffles";"désouffle";"désoufflons";"désoufflez";"désoufflent";"ai désoufflé";"as désoufflé";"a désoufflé";"avons désoufflé";"avez désoufflé";"ont désoufflé";"désoufflais";"désoufflais";"désoufflait";"désoufflions";"désouffliez";"désoufflaient";"désoufflai";"désoufflas";"désouffla";"désoufflâmes";"désoufflâtes";"désoufflèrent";"avais désoufflé";"avais désoufflé";"avait désoufflé";"avions désoufflé";"aviez désoufflé";"avaient désoufflé";"désoufflerai";"désouffleras";"désoufflera";"désoufflerons";"désoufflerez";"désouffleront";"aurai désoufflé";"auras désoufflé";"aura désoufflé";"aurons désoufflé";"aurez désoufflé";"auront désoufflé";"eus désoufflé";"eus désoufflé";"eut désoufflé";"eûmes  désoufflé";"eûtes désoufflé";"eurent désoufflé";"aurais désoufflé";"aurais désoufflé";"aurait désoufflé";"aurions désoufflé";"auriez désoufflé";"auraient désoufflé";"désouffle";"désouffles";" désouffle";"désoufflions";"désouffliez";"désoufflent";"eusse désoufflé";"aies désoufflé";" ait désoufflé";"ayons désoufflé";"ayez désoufflé";"aient désoufflé";"eusse désoufflé";"eusses désoufflé";"est désoufflé";"eussions désoufflé";"eussiez désoufflé";"eussent désoufflé";"désoufflerais";"désoufflerais";"désoufflerait";"désoufflerions";"désouffleriez";"désouffleraient";"désoufflasse";"désoufflasses";"désoufflassions";" désoufflât";"désoufflassiez";"désoufflassent";"aie désoufflé";"eusses désoufflé";" est désoufflé";"eussions désoufflé";"eussiez désoufflé";"eussent désoufflé";"ayons désoufflé";"ayez désoufflé";"aie désoufflé";"avoir désoufflé";"désoufflée";"désoufflé";"désoufflant";"ayant désoufflé";"désoufflons";"désoufflez";"désouffle";1;0
"désoxyder";"désoxyde";"désoxydes";"désoxyde";"désoxydons";"désoxydez";"désoxydent";"ai désoxydé";"as désoxydé";"a désoxydé";"avons désoxydé";"avez désoxydé";"ont désoxydé";"désoxydais";"désoxydais";"désoxydait";"désoxydions";"désoxydiez";"désoxydaient";"désoxydai";"désoxydas";"désoxyda";"désoxydâmes";"désoxydâtes";"désoxydèrent";"avais désoxydé";"avais désoxydé";"avait désoxydé";"avions désoxydé";"aviez désoxydé";"avaient désoxydé";"désoxyderai";"désoxyderas";"désoxydera";"désoxyderons";"désoxyderez";"désoxyderont";"aurai désoxydé";"auras désoxydé";"aura désoxydé";"aurons désoxydé";"aurez désoxydé";"auront désoxydé";"eus désoxydé";"eus désoxydé";"eut désoxydé";"eûmes  désoxydé";"eûtes désoxydé";"eurent désoxydé";"aurais désoxydé";"aurais désoxydé";"aurait désoxydé";"aurions désoxydé";"auriez désoxydé";"auraient désoxydé";"désoxyde";"désoxydes";" désoxyde";"désoxydions";"désoxydiez";"désoxydent";"aie désoxydé";"aies désoxydé";" ait désoxydé";"ayons désoxydé";"ayez désoxydé";"aient désoxydé";"eusse désoxydé";"eusses désoxydé";"est désoxydé";"eussions désoxydé";"eussiez désoxydé";"eussent désoxydé";"désoxyderais";"désoxyderais";"désoxyderait";"désoxyderions";"désoxyderiez";"désoxyderaient";"désoxydasse";"désoxydasses";"désoxydassions";" désoxydât";"désoxydassiez";"désoxydassent";"eusse désoxydé";"eusses désoxydé";" est désoxydé";"eussions désoxydé";"eussiez désoxydé";"eussent désoxydé";"ayons désoxydé";"ayez désoxydé";"aie désoxydé";"avoir désoxydé";"désoxydée";"désoxydé";"désoxydant";"ayant désoxydé";"désoxydons";"désoxydez";"désoxyde";1;0
"désoxygéner";"désoxygène";"désoxygènes";"désoxygène";"désoxygénons";"désoxygénez";"désoxygènent";"ai désoxygéné";"as désoxygéné";"a désoxygéné";"avons désoxygéné";"avez désoxygéné";"ont désoxygéné";"désoxygénais";"désoxygénais";"désoxygénait";"désoxygénions";"désoxygéniez";"désoxygénaient";"désoxygénai";"désoxygénas";"désoxygéna";"désoxygénâmes";"désoxygénâtes";"désoxygénèrent";"avais désoxygéné";"avais désoxygéné";"avait désoxygéné";"avions désoxygéné";"aviez désoxygéné";"avaient désoxygéné";"désoxygénerai";"désoxygéneras";"désoxygénera";"désoxygénerons";"désoxygénerez";"désoxygéneront";"aurai désoxygéné";"auras désoxygéné";"aura désoxygéné";"aurons désoxygéné";"aurez désoxygéné";"auront désoxygéné";"eus désoxygéné";"eus désoxygéné";"eut désoxygéné";"eûmes  désoxygéné";"eûtes désoxygéné";"eurent désoxygéné";"aurais désoxygéné";"aurais désoxygéné";"aurait désoxygéné";"aurions désoxygéné";"auriez désoxygéné";"auraient désoxygéné";"désoxygène";"désoxygènes";" désoxygène";"désoxygénions";"désoxygéniez";"désoxygènent";"aie désoxygéné";"aies désoxygéné";" ait désoxygéné";"ayons désoxygéné";"ayez désoxygéné";"aient désoxygéné";"eusse désoxygéné";"eusses désoxygéné";"est désoxygéné";"eussions désoxygéné";"eussiez désoxygéné";"eussent désoxygéné";"désoxygénerais";"désoxygénerais";"désoxygénerait";"désoxygénerions";"désoxygéneriez";"désoxygéneraient";"désoxygénasse";"désoxygénasses";"désoxygénassions";" désoxygénât";"désoxygénassiez";"désoxygénassent";"eusse désoxygéné";"eusses désoxygéné";" est désoxygéné";"eussions désoxygéné";"eussiez désoxygéné";"eussent désoxygéné";"ayons désoxygéné";"ayez désoxygéné";"aie désoxygéné";"avoir désoxygéné";"désoxygénée";"désoxygéné";"désoxygénant";"ayant désoxygéné";"désoxygénons";"désoxygénez";"désoxygène";1;0
"despécialiser";"despécialise";"despécialises";"despécialise";"despécialisons";"despécialisez";"despécialisent";"ai despécialisé";"as despécialisé";"a despécialisé";"avons despécialisé";"avez despécialisé";"ont despécialisé";"despécialisais";"despécialisais";"despécialisait";"despécialisions";"despécialisiez";"despécialisaient";"despécialisai";"despécialisas";"despécialisa";"despécialisâmes";"despécialisâtes";"despécialisèrent";"avais despécialisé";"avais despécialisé";"avait despécialisé";"avions despécialisé";"aviez despécialisé";"avaient despécialisé";"despécialiserai";"despécialiseras";"despécialisera";"despécialiserons";"despécialiserez";"despécialiseront";"aurai despécialisé";"auras despécialisé";"aura despécialisé";"aurons despécialisé";"aurez despécialisé";"auront despécialisé";"eus despécialisé";"eus despécialisé";"eut despécialisé";"eûmes  despécialisé";"eûtes despécialisé";"eurent despécialisé";"aurais despécialisé";"aurais despécialisé";"aurait despécialisé";"aurions despécialisé";"auriez despécialisé";"auraient despécialisé";;;;;;;"aie despécialisé";"aies despécialisé";" ait despécialisé";"ayons despécialisé";"ayez despécialisé";"aient despécialisé";"eusse despécialisé";"eusses despécialisé";"est despécialisé";"eussions despécialisé";"eussiez despécialisé";"eussent despécialisé";"despécialiserais";"despécialiserais";"despécialiserait";"despécialiserions";"despécialiseriez";"despécialiseraient";"despécialisasse";"despécialisasses";"despécialisassions";" despécialisât";"despécialisassiez";"despécialisassent";"eusse despécialisé";"eusses despécialisé";;"eussions despécialisé";"eussiez despécialisé";"eussent despécialisé";"ayons despécialisé";"ayez despécialisé";"aie despécialisé";"avoir despécialisé";"despécialisée";"despécialisé";"despécialisant";;"despécialisons";"despécialisez";"despécialise";1;0
"dessaisir";"dessaisis";"dessaisis";"dessaisit";"dessaisissons";"dessaisissez";"dessaisissent";"ai dessaisi";"as dessaisi";"a dessaisi";"avons dessaisi";"avez dessaisi";"ont dessaisi";"dessaisissais";"dessaisissais";"dessaisissait";"dessaisissions";"dessaisissiez";"dessaisissaient";"dessaisis";"dessaisis";"dessaisit";"dessaisîmes";"dessaisîtes";"dessaisirent";"avais dessaisi";"avais dessaisi";"avait dessaisi";"avions dessaisi";"aviez dessaisi";"avaient dessaisi";"dessaisirai";"dessaisiras";"dessaisira";"dessaisirons";"dessaisirez";"dessaisiront";"aurai dessaisi";"auras dessaisi";"aura dessaisi";"aurons dessaisi";"aurez dessaisi";"auront dessaisi";"eus dessaisi";"eus dessaisi";"eut dessaisi";"eûmes  dessaisi";"eûtes dessaisi";"eurent dessaisi";"aurais dessaisi";"aurais dessaisi";"aurait dessaisi";"aurions dessaisi";"auriez dessaisi";"auraient dessaisi";"dessaisisse";"dessaisisses";" dessaisisse";"dessaisissions";"dessaisissiez";"dessaisissent";"aie dessaisi";"aies dessaisi";" ait dessaisi";"ayons dessaisi";"ayez dessaisi";"aient dessaisi";"eusse dessaisi";"eusses dessaisi";"est dessaisi";"eussions dessaisi";"eussiez dessaisi";"eussent dessaisi";"dessaisirais";"dessaisirais";"dessaisirait";"dessaisirions";"dessaisiriez";"dessaisiraient";"dessaisisse";"dessaisisses";"dessaisissions";" dessaisît";"dessaisissiez";"dessaisissent";"eusse dessaisi";"eusses dessaisi";" est dessaisi";"eussions dessaisi";"eussiez dessaisi";"eussent dessaisi";"ayons dessaisi";"ayez dessaisi";"aie dessaisi";"avoir dessaisi";"dessaisie";"dessaisi";"dessaisissant";"ayant dessaisi";"dessaisissons";"dessaisissez";"dessaisis";1;0
"destabiliser";"destabilise";"destabilises";"destabilise";"destabilisons";"destabilisez";"destabilisent";"ai destabilisé";"as destabilisé";"a destabilisé";"avons destabilisé";"avez destabilisé";"ont destabilisé";"destabilisais";"destabilisais";"destabilisait";"destabilisions";"destabilisiez";"destabilisaient";"destabilisai";"destabilisas";"destabilisa";"destabilisâmes";"destabilisâtes";"destabilisèrent";"avais destabilisé";"avais destabilisé";"avait destabilisé";"avions destabilisé";"aviez destabilisé";"avaient destabilisé";"destabiliserai";"destabiliseras";"destabilisera";"destabiliserons";"destabiliserez";"destabiliseront";"aurai destabilisé";"auras destabilisé";"aura destabilisé";"aurons destabilisé";"aurez destabilisé";"auront destabilisé";"eus destabilisé";"eus destabilisé";"eut destabilisé";"eûmes  destabilisé";"eûtes destabilisé";"eurent destabilisé";"aurais destabilisé";"aurais destabilisé";"aurait destabilisé";"aurions destabilisé";"auriez destabilisé";"auraient destabilisé";"destabilise";;;"destabilisions";"destabilisiez";;"aie destabilisé";"aies destabilisé";" ait destabilisé";"ayons destabilisé";"ayez destabilisé";"aient destabilisé";"eusse destabilisé";"eusses destabilisé";"est destabilisé";"eussions destabilisé";"eussiez destabilisé";"eussent destabilisé";"destabiliserais";"destabiliserais";"destabiliserait";"destabiliserions";"destabiliseriez";"destabiliseraient";"destabilisasse";"destabilisasses";"destabilisassions";" destabilisât";"destabilisassiez";"destabilisassent";"eusse destabilisé";"eusses destabilisé";" est destabilisé";"eussions destabilisé";"eussiez destabilisé";"eussent destabilisé";"ayons destabilisé";"ayez destabilisé";"aie destabilisé";"avoir destabilisé";"destabilisée";"destabilisé";"destabilisant";;"destabilisons";"destabilisez";"destabilise";1;0
