"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"matérialisé";"matérialisée";"matérialisées";"matérialisés";1;0;104042
"maternisé";"maternisée";"maternisées";"maternisés";1;0;104044
"mathématisé";"mathématisée";"mathématisées";"mathématisés";1;0;104045
"maximalisé";"maximalisée";"maximalisées";"maximalisés";1;0;104054
"maximisé";"maximisée";"maximisées";"maximisés";1;0;104055
"mazé";"mazée";"mazées";"mazés";1;0;104056
"mazouté";"mazoutée";"mazoutées";"mazoutés";1;0;104057
"mécanisé";"mécanisée";"mécanisées";"mécanisés";1;0;104058
"médiatisé";"médiatisée";"médiatisées";"médiatisés";1;0;104066
"médicalisé";"médicalisée";"médicalisées";"médicalisés";1;0;104067
"médisé";"médisée";"médisées";"médisés";1;0;104070
"mémorisé";"mémorisée";"mémorisées";"mémorisés";1;0;104081
"mensualisé";"mensualisée";"mensualisées";"mensualisés";1;0;104088
"menuisé";"menuisée";"menuisées";"menuisés";1;0;104092
"méprisé";"méprisée";"méprisées";"méprisés";1;0;104094
"mercantilisé";"mercantilisée";"mercantilisées";"mercantilisés";1;0;104095
"mercerisé";"mercerisée";"mercerisées";"mercerisés";1;0;104096
"mésallié";"mésalliée";"mésalliées";"mésalliés";1;0;104101
"mésestimé";"mésestimée";"mésestimées";"mésestimés";1;0;104102
"mesuré";"mesurée";"mesurées";"mesurés";1;21;104104
"mésusé";"mésusée";"mésusées";"mésusés";1;0;104105
"métabolisé";"métabolisée";"métabolisées";"métabolisés";1;0;104106
"métallisé";"métallisée";"métallisées";"métallisés";1;1;104107
"métamorphisé";"métamorphisée";"métamorphisées";"métamorphisés";1;0;104108
"météorisé";"météorisée";"météorisées";"météorisés";1;0;104110
"micronisé";"micronisée";"micronisées";"micronisés";1;0;104124
"militarisé";"militarisée";"militarisées";"militarisés";1;0;104129
"millésimé";"millésimée";"millésimées";"millésimés";1;0;104131
"minéralisé";"minéralisée";"minéralisées";"minéralisés";1;0;104136
"miniaturisé";"miniaturisée";"miniaturisées";"miniaturisés";1;0;104138
"minimisé";"minimisée";"minimisées";"minimisés";1;0;104139
"misé";"misée";"misées";"misés";1;0;104145
"mithridatisé";"mithridatisée";"mithridatisées";"mithridatisés";1;0;104148
"mobilisé";"mobilisée";"mobilisées";"mobilisés";1;0;104154
"modélisé";"modélisée";"modélisées";"modélisés";1;0;104156
"modernisé";"modernisée";"modernisées";"modernisés";1;0;104158
"moisé";"moisée";"moisées";"moisés";1;0;104162
"mondialisé";"mondialisée";"mondialisées";"mondialisés";1;0;104174
"monétisé";"monétisée";"monétisées";"monétisés";1;0;104175
"monopolisé";"monopolisée";"monopolisées";"monopolisés";1;0;104178
"moralisé";"moralisée";"moralisées";"moralisés";1;0;104183
"mortaisé";"mortaisée";"mortaisées";"mortaisés";1;0;104197
"motorisé";"motorisée";"motorisées";"motorisés";1;0;104202
"municipalisé";"municipalisée";"municipalisées";"municipalisés";1;0;104233
"musardé";"musardée";"musardées";"musardés";1;0;104240
"muselé";"muselée";"muselées";"muselés";1;0;104242
"musiqué";"musiquée";"musiquées";"musiqués";1;0;104244
