"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"accordant";"accordante";"accordantes";"accordants";0;8;84695
"accorant";"accorante";"accorantes";"accorants";0;0;84696
"accostant";"accostante";"accostantes";"accostants";0;0;84697
"accotant";"accotante";"accotantes";"accotants";0;0;84698
"accouchant";"accouchante";"accouchantes";"accouchants";0;0;84699
"accoutumant";"accoutumante";"accoutumantes";"accoutumants";0;0;84700
"accréditant";"accréditante";"accréditantes";"accréditants";0;0;84701
"accrochant";"accrochante";"accrochantes";"accrochants";0;0;84702
"accroissant";"accroissante";"accroissantes";"accroissants";0;8;84703
"accueillant";"accueillante";"accueillantes";"accueillants";0;18;84704
"acculant";"acculante";"acculantes";"acculants";0;0;84705
"acculturant";"acculturante";"acculturantes";"acculturants";0;0;84706
"accumulant";"accumulante";"accumulantes";"accumulants";0;1;84707
"ailé";"ailée";"ailées";"ailés";0;3;45657
"aixois";"aixoise";"aixoises";;0;0;45664
"akkadien";"akkadienne";"akkadiennes";"akkadiens";0;0;45669
"albanais";"albanaise";"albanaises";;0;12;45676
"albigeois";"albigeoise";"albigeoises";;0;0;45677
"albuginé";"albuginée";"albuginées";"albuginés";0;0;45679
"albumineux";"albumineuse";"albumineuses";;0;0;45680
"albuminé";"albuminée";"albuminées";"albuminés";0;0;45683
"alcalescent";"alcalescente";"alcalescentes";"alcalescents";0;0;45684
"alcalin";"alcaline";"alcalines";"alcalins";0;2;45685
"aldin";"aldine";"aldines";"aldins";0;0;45690
"alexandrin";"alexandrine";"alexandrines";"alexandrins";0;1;45692
"algonquin";"algonquine";"algonquines";"algonquins";0;3;45696
"algérien";"algérienne";"algériennes";"algériens";0;8;45699
"algérois";"algéroise";"algéroises";;0;0;45700
"acensant";"acensante";"acensantes";"acensants";0;0;84709
"acérant";"acérante";"acérantes";"acérants";0;0;84710
"acétifiant";"acétifiante";"acétifiantes";"acétifiants";0;0;84711
"acétylant";"acétylante";"acétylantes";"acétylants";0;0;84712
"achalandant";"achalandante";"achalandantes";"achalandants";0;0;84713
"achalant";"achalante";"achalantes";"achalants";0;0;84714
"acharnant";"acharnante";"acharnantes";"acharnants";0;0;84715
"acheminant";"acheminante";"acheminantes";"acheminants";0;0;84716
"achetant";"achetante";"achetantes";"achetants";0;0;84717
"allemand";"allemande";"allemandes";"allemands";0;256;45712
"alliacé";"alliacée";"alliacées";"alliacés";0;0;45716
"allodial";"allodiale";"allodiales";"allodiaux";0;0;45719
"alluré";"allurée";"allurées";"allurés";0;0;45725
"alluvial";"alluviale";"alluviales";"alluviaux";0;2;45727
"apical";"apicale";"apicales";"apicaux";0;0;45997
"adressant";"adressante";"adressantes";"adressants";0;6;84752
"adsorbant";"adsorbante";"adsorbantes";"adsorbants";0;0;84753
"adulant";"adulante";"adulantes";"adulants";0;0;84754
"adultérant";"adultérante";"adultérantes";"adultérants";0;0;84755
"apollinien";"apollinienne";"apolliniennes";"apolliniens";0;0;46006
"apostat";"apostate";"apostates";"apostats";0;1;46010
"apparent";"apparente";"apparentes";"apparents";0;9;46012
"appauvrissant";"appauvrissante";"appauvrissantes";"appauvrissants";0;0;46016
"appellatif";"appellative";"appellatives";"appellatifs";0;0;46018
"applicateur";"applicatrice";"applicatrices";"applicateurs";0;0;46022
"approbateur";"approbatrice";"approbatrices";"approbateurs";0;3;46026
"approbatif";"approbative";"approbatives";"approbatifs";0;0;46027
"approximatif";"approximative";"approximatives";"approximatifs";0;13;46034
"appréciateur";"appréciatrice";"appréciatrices";"appréciateurs";0;0;46036
"appréciatif";"appréciative";"appréciatives";"appréciatifs";0;0;46037
"appréhensif";"appréhensive";"appréhensives";"appréhensifs";0;0;46038
"appétissant";"appétissante";"appétissantes";"appétissants";0;3;46041
"apéritif";"apéritive";"apéritives";"apéritifs";0;5;46048
"aqueux";"aqueuse";"aqueuses";;0;14;46051
"aquilin";"aquiline";"aquilines";"aquilins";0;1;46053
"aquitain";"aquitaine";"aquitaines";"aquitains";0;0;46054
"arachnéen";"arachnéenne";"arachnéennes";"arachnéens";0;0;46058
"aragonais";"aragonaise";"aragonaises";;0;2;46059
"araméen";"araméenne";"araméennes";"araméens";0;0;46060
"arbitral";"arbitrale";"arbitrales";"arbitraux";0;13;46064
"arborescent";"arborescente";"arborescentes";"arborescents";0;2;46065
"arbustif";"arbustive";"arbustives";"arbustifs";0;0;46069
"arcadien";"arcadienne";"arcadiennes";"arcadiens";0;0;46070
"archipresbytéral";"archipresbytérale";"archipresbytérales";"archipresbytéraux";0;0;46074
"architectural";"architecturale";"architecturales";"architecturaux";0;5;46076
"archiépiscopal";"archiépiscopale";"archiépiscopales";"archiépiscopaux";0;1;46078
"archéen";"archéenne";"archéennes";"archéens";0;0;46079
"ardennais";"ardennaise";"ardennaises";;0;2;46083
"ardent";"ardente";"ardentes";"ardents";0;20;46084
"ardu";"ardue";"ardues";"ardus";0;13;46087
"areligieux";"areligieuse";"areligieuses";;0;0;46088
"argentin";"argentine";"argentines";"argentins";0;1;46090
"argien";"argienne";"argiennes";"argiens";0;0;46093
"argileux";"argileuse";"argileuses";;0;0;46094
"advenant";"advenante";"advenantes";"advenants";0;0;84756
"aérant";"aérante";"aérantes";"aérants";0;0;84757
"affabulant";"affabulante";"affabulantes";"affabulants";0;0;84758
"affacturant";"affacturante";"affacturantes";"affacturants";0;0;84759
"affadissant";"affadissante";"affadissantes";"affadissants";0;0;84760
"arien";"arienne";"ariennes";"ariens";0;0;46097
"aristotélicien";"aristotélicienne";"aristotéliciens";"aristotélicienne";0;1;46101
"ariégeois";"ariégeoise";"ariégeoises";;0;0;46104
"armorial";"armoriale";"armoriales";"armoriaux";0;0;46107
"armoricain";"armoricaine";"armoricaines";"armoricains";0;0;46108
"arménien";"arménienne";"arméniennes";"arméniens";0;1;46110
"aromal";"aromale";"aromales";"aromaux";0;0;46111
"arrogant";"arrogante";"arrogantes";"arrogants";0;4;46121
"arsenical";"arsenicale";"arsenicales";"arsenicaux";0;0;46125
"arsin";"arsine";"arsines";"arsins";0;0;46126
"arsénieux";"arsénieuse";"arsénieuses";;0;0;46128
"artificiel";"artificielle";"artificielles";"artificiels";0;12;46134
"artificieux";"artificieuse";"artificieuses";;0;1;46135
"artériel";"artérielle";"artérielles";"artériels";0;4;46139
"artérioscléreux";"artérioscléreuse";"artérioscléreuses";;0;0;46140
"aryen";"aryenne";"aryennes";"aryens";0;2;46143
"affaiblissant";"affaiblissante";"affaiblissantes";"affaiblissants";0;1;84761
"affaissant";"affaissante";"affaissantes";"affaissants";0;0;84762
"affaitant";"affaitante";"affaitantes";"affaitants";0;0;84763
"affalant";"affalante";"affalantes";"affalants";0;0;84764
"affamant";"affamante";"affamantes";"affamants";0;0;84765
"afféageant";"afféageante";"afféageantes";"afféageants";0;0;84766
"arénacé";"arénacée";"arénacées";"arénacés";0;0;46146
"aréolé";"aréoléee";"aréolées";"aréolés";0;0;46149
"ascendant";"ascendante";"ascendantes";"ascendants";0;6;46151
"ascensionnel";"ascensionnelle";"ascensionnelles";"ascensionnels";0;1;46152
"aspirateur";"aspiratrice";"aspiratrices";"aspirateurs";0;2;46165
"assassin";"assassine";"assassines";"assassins";0;20;46169
"asservisseur";"asservisseuse";"asservisseuses";"asservisseurs";0;0;46172
"assidu";"assidue";"assidues";"assidus";0;5;46173
"assimilateur";"assimilatrice";"assimilatrices";"assimilateurs";0;0;46176
"associatif";"associative";"associatives";"associatifs";0;14;46182
"assonancé";"assonancée";"assonancées";"assonancés";0;0;46187
"affectant";"affectante";"affectantes";"affectants";0;57;84767
"affectionnant";"affectionnante";"affectionnantes";"affectionnants";0;0;84768
"afférant";"afférante";"afférantes";"afférants";0;0;84769
"affermant";"affermante";"affermantes";"affermants";0;0;84770
"affermissant";"affermissante";"affermissantes";"affermissants";0;0;84771
"affichant";"affichante";"affichantes";"affichants";0;1;84772
"affilant";"affilante";"affilantes";"affilants";0;0;84773
"affiliant";"affiliante";"affiliantes";"affiliants";0;0;84774
"affinant";"affinante";"affinantes";"affinants";0;0;84775
"affirmant";"affirmante";"affirmantes";"affirmants";0;11;84776
"affleurant";"affleurante";"affleurantes";"affleurants";0;0;84777
"affligeant";"affligeante";"affligeantes";"affligeants";0;2;84778
